subject,relation,object,new_topic,old_index
PAPANDREOU,is at,OPTIMISM,1,5879
Sea,RESTRICTED,OPTIMISM,1,5880
Sea,RESTRICTED,CRISIS,1,5881
Sea,RESTRICTED,Greek,1,5882
Sea,RESTRICTED,optimism,1,5883
trade,is in,computer microchips,5,5884
NAKASONE,SOUNDS,CONCILIATORY NOTE,5,5885
NAKASONE,SOUNDS NOTE IN,CHIP DISPUTE Prime Minister Yasuhiro Nakasone,5,5886
NAKASONE,SOUNDS,NOTE,5,5887
NAKASONE,is at,NOTE,5,5888
AEGEAN TENSION,ABATES Turkey standoff with,Greece,1,5890
AEGEAN TENSION,ABATES Turkey standoff with,Greece over Aegean oil rights,1,5891
AEGEAN TENSION,ABATES,Turkey standoff,1,5892
GREEK AEGEAN TENSION,ABATES,Turkey standoff,1,5893
GREEK AEGEAN TENSION,ABATES Turkey standoff with,Greece,1,5894
GREEK AEGEAN TENSION,ABATES Turkey standoff with,Greece over Aegean oil rights,1,5895
TURKISH GREEK AEGEAN TENSION,ABATES Turkey standoff with,Greece over Aegean oil rights,1,5896
TURKISH GREEK AEGEAN TENSION,ABATES Turkey standoff with,Greece,1,5897
TURKISH GREEK AEGEAN TENSION,ABATES,Turkey standoff,1,5898
BANK,SEES,MODEST RECOVERY IN GULF ARAB ECONOMIES,2,5899
modest economic recovery,states following,oil revenues,2,5900
economic recovery,states following,higher oil revenues,2,5901
modest economic recovery,is in,Gulf Arab,2,5902
recovery,states following,oil revenues,2,5903
BANK,SEES,RECOVERY,2,5904
BANK,SEES,MODEST RECOVERY,2,5905
modest recovery,states following,higher oil revenues,2,5906
modest recovery,states following,oil revenues,2,5907
MODEST RECOVERY,is IN,GULF ARAB ECONOMIES,2,5908
modest economic recovery,states following,higher oil revenues,2,5909
recovery,states following,higher oil revenues,2,5910
economic recovery,states following,oil revenues,2,5911
BANK,SEES,RECOVERY IN GULF ARAB ECONOMIES,2,5912
BANK,is at,RECOVERY,2,5913
China 's foreign exchange reserves,cover,import payments,2,5914
China 's exchange reserves,cover,import payments for three to four months,2,5915
China 's exchange reserves,cover,import payments,2,5916
China,has,foreign exchange reserves,2,5917
China 's foreign exchange reserves,cover,import payments for three to four months,2,5918
recent plunge,is in,coffee prices,7,5919
SURVEY SHIP ESCORT AS TENSION,ABATES,Turkey,1,5920
conflict,is with,Greece,1,5921
conflict,is in,Aegean Sea,1,5922
TENSION,ABATES,warships,1,5923
TENSION,ABATES,close,1,5924
TENSION,ABATES,escort,1,5925
TRADE WAR Japan,is seeking,to prevent,5,5926
its computer chips,dispute with,U,5,5927
TOKYO,is at,BIDS,5,5928
BALDRIGE,PREDICTS,END,5,5930
BALDRIGE,PREDICTS END OF,U,5,5931
CANADA GDP,RISES,3,2,5934
rain,sustain,Australian Sugar Producers Association spokesman,4,5936
rain,sustain,Sugar Producers Association spokesman,4,5937
enough rain,sustain,1987 crop,4,5938
rain,sustain,1987 crop,4,5939
enough rain,sustain,Australian Sugar Producers Association spokesman,4,5940
enough rain,sustain,Sugar Producers Association spokesman,4,5941
SUGAR,is,AUSTRALIAN,4,5942
ACCU SAYS Winter wheat crops,is in,western Soviet Union,4,5943
EAST EUROPE WHEAT WINTERKILL POSSIBLE,may suffer winterkill over,two nights,4,5944
EAST EUROPE WHEAT WINTERKILL POSSIBLE,may suffer winterkill over,next two nights,4,5945
EAST EUROPE WHEAT WINTERKILL POSSIBLE,may suffer,winterkill,4,5946
INDONESIA LIMITS OIL PRICE IMPACT FINANCE MINISTER Indonesia,has minimised,impact of oil prices,2,5947
INDONESIA LIMITS OIL PRICE IMPACT FINANCE MINISTER Indonesia,has minimised,impact of falling oil prices,2,5948
INDONESIA LIMITS OIL PRICE IMPACT FINANCE MINISTER Indonesia,has minimised,economic impact of oil prices,2,5949
INDONESIA LIMITS OIL PRICE IMPACT FINANCE MINISTER Indonesia,has minimised,economic impact of falling oil prices,2,5950
INDONESIA LIMITS OIL PRICE IMPACT FINANCE MINISTER Indonesia,kept,inflation,2,5951
INDONESIA LIMITS OIL PRICE IMPACT FINANCE MINISTER Indonesia,kept inflation within,limits,2,5952
INDONESIA LIMITS OIL PRICE IMPACT FINANCE MINISTER Indonesia,boosted,exports,2,5953
INDONESIA LIMITS OIL PRICE IMPACT FINANCE MINISTER Indonesia,has minimised,impact,2,5954
INDONESIA LIMITS OIL PRICE IMPACT FINANCE MINISTER Indonesia,has minimised,economic impact,2,5955
PRICE,has,IMPACT,2,5956
PRICE,has,economic,2,5957
PRICE,has,FINANCE,2,5958
JAPAN,HAS,NEW,5,5959
new,settle,dispute,5,5960
JAPAN,HAS,LITTLE NEW,5,5961
dispute,is with,U,5,5962
new,settle,dispute with U,5,5963
JAPAN,BOUGHT,U,4,5964
JAPAN,BUYS,LARGE AMOUNT,4,5965
JAPAN,BUYS,LARGE AMOUNT OF BRAZILIAN SOYBEANS Japanese crushers,4,5966
shipment,said to,August shipment,4,5967
trade sources,said to,August shipment,4,5968
JAPAN,BUYS,AMOUNT OF BRAZILIAN SOYBEANS Japanese crushers,4,5969
JAPAN,BUYS,AMOUNT OF SOYBEANS crushers,4,5970
JAPAN,BUYS,LARGE AMOUNT OF BRAZILIAN SOYBEANS crushers,4,5971
JAPAN,BUYS,LARGE AMOUNT OF SOYBEANS Japanese crushers,4,5972
JAPAN,BUYS,AMOUNT OF BRAZILIAN SOYBEANS crushers,4,5973
JAPAN,BUYS,LARGE AMOUNT OF SOYBEANS crushers,4,5974
JAPAN,BUYS,AMOUNT,4,5975
JAPAN,BUYS,AMOUNT OF SOYBEANS Japanese crushers,4,5976
JAPAN,is at,AMOUNT,4,5977
PHILIPPINE COCONUT AGENCY,GETS,NEW ADMINISTRATOR Coconut Authority Chairman Jose Romero,1,5978
PHILIPPINE COCONUT AGENCY,GETS,NEW ADMINISTRATOR Newly installed Coconut Authority Chairman Jose Romero,1,5979
PHILIPPINE COCONUT AGENCY,GETS,ADMINISTRATOR Philippine Coconut Authority Chairman Jose Romero,1,5980
PHILIPPINE COCONUT AGENCY,GETS,ADMINISTRATOR Newly installed Philippine Coconut Authority Chairman Jose Romero,1,5981
PHILIPPINE COCONUT AGENCY,GETS,ADMINISTRATOR installed Philippine Coconut Authority Chairman Jose Romero,1,5982
COCONUT AGENCY,GETS,NEW ADMINISTRATOR Newly installed Coconut Authority Chairman Jose Romero,1,5983
COCONUT AGENCY,GETS,NEW ADMINISTRATOR Newly installed Philippine Coconut Authority Chairman Jose Romero,1,5984
PHILIPPINE COCONUT AGENCY,GETS,NEW ADMINISTRATOR Philippine Coconut Authority Chairman Jose Romero,1,5985
COCONUT AGENCY,GETS,ADMINISTRATOR Newly installed Coconut Authority Chairman Jose Romero,1,5986
PHILIPPINE COCONUT AGENCY,GETS,NEW ADMINISTRATOR Newly installed Philippine Coconut Authority Chairman Jose Romero,1,5987
COCONUT AGENCY,GETS,ADMINISTRATOR installed Coconut Authority Chairman Jose Romero,1,5988
COCONUT AGENCY,GETS,ADMINISTRATOR Coconut Authority Chairman Jose Romero,1,5989
COCONUT AGENCY,GETS,NEW ADMINISTRATOR Coconut Authority Chairman Jose Romero,1,5990
PHILIPPINE COCONUT AGENCY,GETS,NEW ADMINISTRATOR installed Coconut Authority Chairman Jose Romero,1,5991
PHILIPPINE COCONUT AGENCY,GETS,ADMINISTRATOR Coconut Authority Chairman Jose Romero,1,5992
COCONUT AGENCY,GETS,NEW ADMINISTRATOR installed Coconut Authority Chairman Jose Romero,1,5993
PHILIPPINE COCONUT AGENCY,GETS,ADMINISTRATOR installed Coconut Authority Chairman Jose Romero,1,5994
COCONUT AGENCY,GETS,NEW ADMINISTRATOR Philippine Coconut Authority Chairman Jose Romero,1,5995
COCONUT AGENCY,GETS,ADMINISTRATOR Philippine Coconut Authority Chairman Jose Romero,1,5996
PHILIPPINE COCONUT AGENCY,GETS,ADMINISTRATOR Newly installed Coconut Authority Chairman Jose Romero,1,5997
COCONUT AGENCY,GETS,ADMINISTRATOR installed Philippine Coconut Authority Chairman Jose Romero,1,5998
COCONUT AGENCY,GETS,NEW ADMINISTRATOR installed Philippine Coconut Authority Chairman Jose Romero,1,5999
COCONUT AGENCY,GETS,ADMINISTRATOR Newly installed Philippine Coconut Authority Chairman Jose Romero,1,6000
PHILIPPINE COCONUT AGENCY,GETS,NEW ADMINISTRATOR installed Philippine Coconut Authority Chairman Jose Romero,1,6001
COCONUT,is,PHILIPPINE,1,6002
European Community,implements,new tax on vegetable oils,5,6003
European Community,implements,new tax,5,6004
European Community,implements,tax,5,6005
European Community,implements,tax on vegetable oils,5,6006
COCONUT,is,PHILIPPINE,5,6007
FEBRUARY INFLATION,CONFIRMED AT,0,2,6008
FRENCH FEBRUARY INFLATION,CONFIRMED AT,0,2,6009
FEBRUARY,is,FRENCH,2,6010
0,CONFIRMED,FRENCH,2,6011
head,told,Reuters,7,6012
BUD DISEASED RUBBER TREES Sri Lanka,will uproot,rubber trees,7,6013
BUD RUBBER TREES Sri Lanka,will uproot,rubber trees,7,6014
equilibrium,is in,international economic relations,7,6015
International Cocoa Agreement,lead to,stabilisation,7,6016
International Cocoa Agreement,lead to,stabilisation of prices,7,6017
new International Cocoa Agreement,lead to,stabilisation,7,6018
new International Cocoa Agreement,lead to,stabilisation of prices,7,6019
TOP QUALITIES,SOUGHT ON,HAMBURG COFFEE MARKET,7,6021
origin,sunflowerseed,oil,4,6022
buffer stock rules agreement,reached on,Friday,7,6023
buffer stock rules agreement,reached by,International Cocoa Organization,7,6024
trade,is in,computer microchips,5,6025
NAKASONE,SOUNDS,CONCILIATORY NOTE,5,6026
NAKASONE,SOUNDS NOTE IN,CHIP DISPUTE Prime Minister Yasuhiro Nakasone,5,6027
NAKASONE,SOUNDS,NOTE,5,6028
NAKASONE,is at,NOTE,5,6029
WORLD,FEELS CHEATED,Japan,5,6030
JAPAN ISOLATED,is becoming as,U,5,6031
JAPAN ISOLATED,is becoming again,dangerously isolated,5,6032
JAPAN ISOLATED,is becoming,isolated,5,6033
JAPAN ISOLATED,is becoming again,isolated,5,6034
JAPAN ISOLATED,is becoming again as,U,5,6035
JAPAN ISOLATED,is becoming,dangerously isolated,5,6036
WORLD,FEELS,U,5,6037
TOKYO BIDS,is seeking,to prevent,5,6038
its computer chips,dispute with,U,5,6039
TOKYO,is at,BIDS,5,6040
BALDRIGE,PREDICTS,END,5,6042
BALDRIGE,PREDICTS END OF,U,5,6043
EC INDUSTRY OUTPUT GROWTH,SLOWS IN,1986 European Community industrial output increased by average last year,2,6044
EC INDUSTRY OUTPUT GROWTH,SLOWS IN,1986 European Community output increased by average last year,2,6045
EC INDUSTRY OUTPUT GROWTH,SLOWS IN,1986 European Community output increased by average year,2,6046
EC INDUSTRY OUTPUT GROWTH,SLOWS IN,1986 European Community output increased by average of around two pct last year,2,6047
EC INDUSTRY OUTPUT GROWTH,SLOWS IN,1986 European Community industrial output increased,2,6048
EC INDUSTRY OUTPUT GROWTH,SLOWS IN,1986 European Community output increased,2,6049
EC INDUSTRY OUTPUT GROWTH,SLOWS IN,1986 European Community industrial output increased by average of around two pct last year,2,6050
EC INDUSTRY OUTPUT GROWTH,SLOWS compared,3,2,6051
EC INDUSTRY OUTPUT GROWTH,SLOWS IN,1986 European Community output increased by average of around two pct year,2,6052
EC INDUSTRY OUTPUT GROWTH,SLOWS IN,1986 European Community industrial output increased by average of around two pct year,2,6053
EC INDUSTRY OUTPUT GROWTH,SLOWS IN,1986 European Community output,2,6054
EC INDUSTRY OUTPUT GROWTH,SLOWS IN,1986 European Community industrial output,2,6055
EC INDUSTRY OUTPUT GROWTH,SLOWS IN,1986 European Community industrial output increased by average year,2,6056
Panamanian motor vessel,was,towed,1,6058
motor vessel,was safely towed over,weekend,1,6059
motor vessel,was towed into,Greenock,1,6060
motor vessel,was,towed,1,6061
Panamanian motor vessel,was safely towed into,Greenock,1,6062
motor vessel,was,safely towed,1,6063
Panamanian motor vessel,was,safely towed,1,6064
motor vessel,was towed over,weekend,1,6065
Panamanian motor vessel,was safely towed over,weekend,1,6066
Panamanian motor vessel,was towed into,Greenock,1,6067
motor vessel,was safely towed into,Greenock,1,6068
motor vessel,was,safely towed into Greenock over weekend,1,6069
Panamanian motor vessel,was,safely towed into Greenock over weekend,1,6070
Panamanian motor vessel,was towed over,weekend,1,6071
Panamanian motor vessel,was,towed into Greenock over weekend,1,6072
motor vessel,was,towed into Greenock over weekend,1,6073
TRADE,is,YUGOSLAV,2,6075
SRI LANKA APPEALS,has appealed to,24 countries,4,6077
SRI LANKA APPEALS,help,2,4,6078
SRI LANKA APPEALS,has appealed to,24 countries for emergency aid,4,6079
countries,has,emergency,4,6080
Ia,estimated,direct,4,6083
Ia,estimated,hogs,4,6084
Ia,estimated,rcpts,4,6085
Ia,estimated,actual,4,6086
Ia,estimated,week,4,6087
TRADE,SEES,U,4,6090
TRADE,SEES,U,4,6091
Co,said,effective,6,6092
ICO BOARD SEEN UNLIKELY,SET,NEW COFFEE,7,6093
International Coffee Organization,resume,negotiations,7,6094
ICO BOARD SEEN UNLIKELY,SET,COFFEE,7,6095
International Coffee Organization,resume,negotiations on export quotas,7,6096
COFFEE,TALKS,Chances,7,6097
COFFEE,TALKS,executive,7,6098
COFFEE,TALKS,board,7,6099
COFFEE,TALKS,meeting,7,6100
MINISTER,SEES,ENOUGH EC STATES,5,6101
MINISTER,SEES,EC STATES,5,6102
SPOTLIGHT,is,ECONOMIC,5,6103
CRUDE OIL NETBACKS UP,is IN,U,0,6105
FRENCH 1986/87 SOFT WHEAT,EXPORTS,FALL Exports of French soft wheat,4,6106
FRENCH SOFT WHEAT,EXPORTS FALL Exports to,March 1 1987 fell,4,6107
FRENCH 1986/87 SOFT WHEAT,EXPORTS FALL Exports to,March 1 1987,4,6108
FRENCH SOFT WHEAT,EXPORTS FALL Exports for,period July 1 1986,4,6109
FRENCH 1986/87 SOFT WHEAT,EXPORTS,FALL Exports of French wheat,4,6110
FRENCH SOFT WHEAT,EXPORTS,FALL Exports of French soft wheat,4,6111
1986/87 SOFT WHEAT,EXPORTS,FALL Exports of wheat,4,6112
SOFT WHEAT,EXPORTS FALL Exports to,March 1 1987 fell,4,6113
SOFT WHEAT,EXPORTS,FALL Exports,4,6114
1986/87 SOFT WHEAT,EXPORTS,FALL Exports,4,6115
1986/87 SOFT WHEAT,EXPORTS FALL Exports to,March 1 1987 fell,4,6116
1986/87 SOFT WHEAT,EXPORTS,FALL Exports of French soft wheat,4,6117
SOFT WHEAT,EXPORTS FALL Exports for,period July 1 1986,4,6118
FRENCH 1986/87 SOFT WHEAT,EXPORTS,FALL Exports,4,6119
FRENCH 1986/87 SOFT WHEAT,EXPORTS,FALL Exports of soft wheat,4,6120
SOFT WHEAT,EXPORTS,FALL Exports of French soft wheat,4,6121
FRENCH 1986/87 SOFT WHEAT,EXPORTS FALL Exports for,period July 1 1986,4,6122
FRENCH SOFT WHEAT,EXPORTS,FALL Exports,4,6123
FRENCH SOFT WHEAT,EXPORTS FALL Exports to,March 1 1987,4,6124
1986/87 SOFT WHEAT,EXPORTS FALL Exports to,March 1 1987,4,6125
SOFT WHEAT,EXPORTS,FALL Exports of wheat,4,6126
SOFT WHEAT,EXPORTS,FALL Exports of soft wheat,4,6127
SOFT WHEAT,EXPORTS FALL Exports to,March 1 1987,4,6128
FRENCH 1986/87 SOFT WHEAT,EXPORTS FALL Exports to,March 1 1987 fell,4,6129
1986/87 SOFT WHEAT,EXPORTS,FALL Exports of soft wheat,4,6130
FRENCH SOFT WHEAT,EXPORTS,FALL Exports of French wheat,4,6131
SOFT WHEAT,EXPORTS,FALL Exports of French wheat,4,6132
FRENCH SOFT WHEAT,EXPORTS,FALL Exports of soft wheat,4,6133
1986/87 SOFT WHEAT,EXPORTS FALL Exports for,period July 1 1986,4,6134
1986/87 SOFT WHEAT,EXPORTS,FALL Exports of French wheat,4,6135
FRENCH SOFT WHEAT,EXPORTS,FALL Exports of wheat,4,6136
FRENCH 1986/87 SOFT WHEAT,EXPORTS,FALL Exports of wheat,4,6137
IBC EXPECTED,is,expected,7,6138
it,reopens export registrations at_time,probably later week,7,6139
IBC EXPECTED,maintain,its previous pricing system,7,6140
it,reopens export registrations at_time,probably week,7,6141
it,reopens export registrations at_time,week,7,6142
it,reopens export registrations at_time,later week,7,6143
IBC,MAINTAIN,COFFEE EXPORT FORMULA,7,6144
IBC EXPECTED,maintain,its pricing system,7,6145
CANADA CURRENT ACCOUNT DEFICIT UP,widened to,seasonally adjusted 2,2,6146
CANADA CURRENT ACCOUNT DEFICIT UP,widened to,adjusted 2,2,6147
CANADA CURRENT ACCOUNT DEFICIT UP,is IN,QUARTER Canada 's current account deficit,2,6148
REFINERY OPERATIONS,SEEN,PROFITS U,0,6149
LOWER REFINERY OPERATIONS,SEEN,PRODUCING PROFITS U,0,6150
LOWER REFINERY OPERATIONS,SEEN,PROFITS U,0,6151
REFINERY OPERATIONS,SEEN,PRODUCING PROFITS U,0,6152
REFINERY,is,LOWER,0,6153
REFINERY,SEEN,OPERATIONS,0,6154
REFINERY,SEEN,PROFITS,0,6155
ITS REFINING CAPACITY Venezuela,has,state oil company,0,6158
VENEZUELA,BOOST,ITS REFINING CAPACITY Venezuela 's state oil company,0,6159
S,BOOST,state,0,6160
S,BOOST,oil,0,6161
UPDATE,WINTER,WHEAT ACREAGE,4,6162
UPDATE,WINTER,WHEAT,4,6163
JAPAN,BUYS,Japanese crushers,4,6165
JAPAN,BUYS,CANADIAN Japanese crushers,4,6166
JAPAN,BUYS,RAPESEED crushers,4,6167
JAPAN,BUYS,CANADIAN RAPESEED crushers,4,6168
JAPAN,BUYS,CANADIAN RAPESEED Japanese crushers,4,6169
trade sources,said for,May shipment,4,6170
JAPAN,BUYS,RAPESEED Japanese crushers,4,6171
JAPAN,BUYS,crushers,4,6172
JAPAN,BUYS,CANADIAN crushers,4,6173
LITTLE RISK,SEEN FOR,TEXAS COTTON,4,6174
LITTLE RISK,SEEN FROM,COLD Texas ' cotton crop,4,6175
RISK,SEEN FROM,COLD Texas ' cotton crop,4,6176
RISK,SEEN FOR,TEXAS COTTON,4,6177
RISK,is,LITTLE,4,6178
EXPORT,has,REPORT,4,6179
REPORT,is at,EXPORT,4,6180
final rate drop,is in,second quarter,2,6182
four quick half point discount rate cuts,is in,1986,2,6183
TEXAS CROP REPORT Texas USDA state crop report,said,conditions improved later,4,6185
TEXAS CROP REPORT Texas weekly USDA state crop report,said,winter weather fieldwork,4,6186
TEXAS CROP REPORT Texas USDA state crop report,said winter weather fieldwork,conditions improved later,4,6187
TEXAS CROP REPORT Texas weekly USDA state crop report,said winter weather fieldwork,before conditions improved later in week,4,6188
TEXAS CROP REPORT Texas weekly USDA state crop report,said,before conditions improved,4,6189
TEXAS CROP REPORT Texas weekly USDA state crop report,said winter weather fieldwork,conditions improved in week,4,6190
TEXAS CROP REPORT Texas USDA state crop report,said,conditions improved,4,6191
TEXAS CROP REPORT Texas USDA state crop report,said,stormy winter weather limited fieldwork,4,6192
TEXAS CROP REPORT Texas USDA state crop report,said,before conditions improved,4,6193
TEXAS CROP REPORT Texas USDA state crop report,said,conditions improved in week,4,6194
TEXAS CROP REPORT Texas weekly USDA state crop report,said,conditions improved later,4,6195
conditions,improved later in,week,4,6196
TEXAS CROP REPORT Texas USDA state crop report,said winter weather fieldwork,conditions improved,4,6197
TEXAS CROP REPORT Texas USDA state crop report,said,before conditions improved in week,4,6198
TEXAS CROP REPORT Texas weekly USDA state crop report,said winter weather fieldwork,conditions improved later,4,6199
TEXAS CROP REPORT Texas USDA state crop report,said,stormy winter weather fieldwork,4,6200
TEXAS CROP REPORT Texas weekly USDA state crop report,said winter weather fieldwork,before conditions improved,4,6201
TEXAS CROP REPORT Texas USDA state crop report,said,winter weather limited fieldwork,4,6202
TEXAS CROP REPORT Texas weekly USDA state crop report,said,before conditions improved later,4,6203
TEXAS CROP REPORT Texas weekly USDA state crop report,said,before conditions improved in week,4,6204
TEXAS CROP REPORT Texas weekly USDA state crop report,said,conditions improved later in week,4,6205
TEXAS CROP REPORT Texas weekly USDA state crop report,said winter weather fieldwork,before conditions improved later,4,6206
TEXAS CROP REPORT Texas USDA state crop report,said winter weather fieldwork,before conditions improved in week,4,6207
TEXAS CROP REPORT Texas USDA state crop report,said,before conditions improved later in week,4,6208
TEXAS CROP REPORT Texas weekly USDA state crop report,said,stormy winter weather limited fieldwork,4,6209
TEXAS CROP REPORT Texas weekly USDA state crop report,said,winter weather limited fieldwork,4,6210
TEXAS CROP REPORT Texas weekly USDA state crop report,said winter weather fieldwork,conditions improved later in week,4,6211
TEXAS CROP REPORT Texas USDA state crop report,said,before conditions improved later,4,6212
TEXAS CROP REPORT Texas USDA state crop report,said winter weather fieldwork,before conditions improved,4,6213
TEXAS CROP REPORT Texas USDA state crop report,said winter weather fieldwork,conditions improved in week,4,6214
conditions,improved in,week,4,6215
TEXAS CROP REPORT Texas USDA state crop report,said winter weather fieldwork,conditions improved later in week,4,6216
TEXAS CROP REPORT Texas weekly USDA state crop report,said,conditions improved,4,6217
TEXAS CROP REPORT Texas weekly USDA state crop report,said winter weather fieldwork,before conditions improved in week,4,6218
TEXAS CROP REPORT Texas weekly USDA state crop report,said,stormy winter weather fieldwork,4,6219
TEXAS CROP REPORT Texas USDA state crop report,said winter weather fieldwork,before conditions improved later in week,4,6220
TEXAS CROP REPORT Texas USDA state crop report,said,winter weather fieldwork,4,6221
TEXAS CROP REPORT Texas weekly USDA state crop report,said winter weather fieldwork,conditions improved,4,6222
TEXAS CROP REPORT Texas USDA state crop report,said,conditions improved later in week,4,6223
TEXAS CROP REPORT Texas weekly USDA state crop report,said,before conditions improved later in week,4,6224
TEXAS CROP REPORT Texas USDA state crop report,said winter weather fieldwork,before conditions improved later,4,6225
TEXAS CROP REPORT Texas weekly USDA state crop report,said,conditions improved in week,4,6226
proposal,is with,Arkansas Public Service Commission,6,6227
ARKLA,SETTLE,DISPUTE Arkla Inc,6,6228
Inc,said,natural,6,6229
MINISTER,SEES ACCORD ON,EC OILS FATS Belgian Foreign Trade Minister Herman De Croo,5,6230
BELGIAN MINISTER,SEES,NEW ACCORD,5,6231
BELGIAN MINISTER,SEES,ACCORD,5,6232
said,would,would compromise on its proposed tax,5,6233
MINISTER,SEES,NEW ACCORD,5,6234
BELGIAN MINISTER,SEES ACCORD ON,EC OILS FATS Belgian Foreign Trade Minister Herman De Croo,5,6235
said,would,would compromise within European Community on its proposed tax,5,6236
said,would,would compromise within European Community on its proposed tax on vegetable fats,5,6237
said,would,would compromise within European Community,5,6238
MINISTER,SEES,ACCORD,5,6239
said,would,would compromise,5,6240
said,would,would compromise on its proposed tax on vegetable fats,5,6241
MINISTER,is,BELGIAN,5,6242
MINISTER,is at,ACCORD,5,6243
CANADA,is,0,0,6244
EXXON,SEES,SYNFUELS ROLE BY YEAR 2000 Development halted in years,6,6245
EXXON,SEES,SYNFUELS ROLE YEAR 2000 Development,6,6246
EXXON,SEES,SYNFUELS ROLE YEAR 2000 Development halted,6,6247
EXXON,SEES,SYNFUELS ROLE BY YEAR 2000 Development of shale oil halted,6,6248
EXXON,SEES,SYNFUELS ROLE BY YEAR 2000 Development,6,6249
EXXON,SEES,SYNFUELS ROLE,6,6250
EXXON,SEES,SYNFUELS ROLE BY YEAR 2000 Development of shale oil halted in recent years,6,6251
EXXON,SEES,SYNFUELS ROLE BY YEAR 2000 Development halted in recent years,6,6252
EXXON,SEES,SYNFUELS ROLE BY YEAR 2000 Development of shale oil halted in years,6,6253
EXXON,SEES,SYNFUELS ROLE BY YEAR 2000 Development halted,6,6254
EXXON,SEES,SYNFUELS ROLE YEAR 2000 Development of shale oil halted,6,6255
EXXON,SEES,SYNFUELS ROLE YEAR 2000 Development of shale oil halted in years,6,6256
EXXON,SEES,SYNFUELS ROLE YEAR 2000 Development of shale oil,6,6257
EXXON,SEES,SYNFUELS ROLE YEAR 2000 Development of shale oil halted in recent years,6,6258
EXXON,SEES,SYNFUELS ROLE BY YEAR 2000 Development of shale oil,6,6259
EXXON,SEES,SYNFUELS ROLE YEAR 2000 Development halted in years,6,6260
EXXON,SEES,SYNFUELS ROLE YEAR 2000 Development halted in recent years,6,6261
OKLAHOMA WEEKLY CROP REPORT,caused,cattle deaths,4,6262
weather,slowed,development,4,6263
PAKISTAN,is at,BIDS,4,6267
Ltd,had,white,4,6268
JAPAN HOUSING,STARTS,RISE,2,6269
RISE,is IN,FEBRUARY Japan 's housing starts,2,6270
FEBRUARY Japan 's housing starts,is in,February,2,6271
JAPAN HOUSING,STARTS,RISE IN FEBRUARY Japan 's housing starts,2,6272
JAPAN HOUSING,STARTS,RISE IN FEBRUARY Japan 's housing starts in February,2,6273
Thailand,has,sugarcane output,4,6274
Thailand 's sugarcane output,fall to,about 23,4,6275
EUROPEAN COMMUNITY,SET UP,OFFICE,5,6276
EUROPEAN COMMUNITY,SET UP,OFFICE IN PEKING China,5,6277
OFFICE,is IN,PEKING China,5,6278
EC,signed,agreement,5,6279
EC,signed,establishment,5,6280
TRADE FRICTION THREATENS,may,may have dealt by yen 's rapid rise,5,6281
TRADE FRICTION THREATENS,may,may have dealt by yen 's renewed rise,5,6282
TRADE FRICTION THREATENS,may,may have dealt by yen 's renewed rapid rise,5,6283
TRADE FRICTION THREATENS,may,may have dealt by yen 's rise,5,6284
trade war,is with,United States,5,6285
TRADE FRICTION,TOPPLE,NAKASONE Prime Minister Yasuhiro Nakasone,5,6286
COFFEE India,cut,export duty,7,6287
COFFEE India,cut export duty from,600 rupees,7,6288
INDIA,REDUCES,EXPORT DUTY,7,6289
COFFEE India,cut export duty on,coffee,7,6290
COFFEE India,cut export duty to,330 rupees per 100 kg,7,6291
COFFEE India,cut export duty to,330 rupees,7,6292
India,cut,effective,7,6293
SWEDISH CURRENT ACCOUNT DEFICIT,RISES IN,JANUARY Sweden 's balance of payments on current account,2,6294
SWEDISH ACCOUNT DEFICIT RISES,showed,deficit of 500 mln crowns,2,6295
SWEDISH CURRENT ACCOUNT DEFICIT,RISES IN,JANUARY Sweden 's balance of payments on account,2,6296
SWEDISH CURRENT ACCOUNT DEFICIT RISES,showed deficit after,shortfall in December,2,6297
ACCOUNT DEFICIT RISES,showed deficit after,shortfall of 100 mln,2,6298
SWEDISH CURRENT ACCOUNT DEFICIT RISES,showed,deficit of 500 mln crowns,2,6299
SWEDISH ACCOUNT DEFICIT,RISES IN,JANUARY Sweden 's balance of payments on current account,2,6300
ACCOUNT DEFICIT RISES,showed deficit after,shortfall of 100 mln in December,2,6301
ACCOUNT DEFICIT,RISES IN,JANUARY Sweden 's balance,2,6302
SWEDISH ACCOUNT DEFICIT RISES,showed deficit after,shortfall,2,6303
CURRENT ACCOUNT DEFICIT RISES,showed deficit after,shortfall of 100 mln in December,2,6304
CURRENT ACCOUNT DEFICIT RISES,showed deficit after,shortfall,2,6305
SWEDISH CURRENT ACCOUNT DEFICIT,RISES IN,JANUARY Sweden 's balance of payments,2,6306
SWEDISH ACCOUNT DEFICIT RISES,showed deficit after,shortfall in December,2,6307
CURRENT ACCOUNT DEFICIT RISES,showed,deficit of 500 mln crowns,2,6308
ACCOUNT DEFICIT,RISES IN,JANUARY Sweden 's balance of payments on current account,2,6309
ACCOUNT DEFICIT RISES,showed deficit after,shortfall in December,2,6310
SWEDISH ACCOUNT DEFICIT RISES,showed deficit after,shortfall of 100 mln,2,6311
CURRENT ACCOUNT DEFICIT RISES,showed deficit in,January,2,6312
SWEDISH CURRENT ACCOUNT DEFICIT RISES,showed deficit after,shortfall,2,6313
SWEDISH ACCOUNT DEFICIT,RISES IN,JANUARY Sweden 's balance of payments,2,6314
CURRENT ACCOUNT DEFICIT RISES,showed,deficit,2,6315
